Kabupaten/Kota 17,,,
,IMB Aneka Investasi (Juta Rupiah),,
,"Makanan, Minuman, dan Tembakau",Barang Kayu dan Hasil Hutan,Jumlah
,2019,2019,2019
Sumatera Selatan,810191195,7412497,817603692
Ogan Komering Ulu,-,-,-
Ogan Komering Ilir,2585888,802849,3388737
Muara Enim,203487,1500,204987
Lahat,387162,-,387162
Musi Rawas,2405110,-,2405110
Musi Banyuasin,4977521,958817,5936338
Banyuasin,7609286,4705512,12314798
Ogan Komering Ulu Selatan,870,-,870
Ogan Komering Ulu Timur,1825243,-,1825243
Ogan Ilir,1560582,877261,2437843
Empat Lawang,217472,-,217472
Pali,1574,-,1574
Musi Rawas Utara,388540,-,388540
Palembang,-,66557,787994721
Prabumulih,-,-,3482
Pagar Alam,-,-,96814
Lubuk Linggau,-,-,-
