Kabupaten/Kota 17,,,,,,,
,Jumlah Murid (Jiwa),,,,,,
,SD,Madrasah Ibtidaiyah,SMP,Madrasah Tsanawiyah,SMA,Madrasah Aliyah,SMK
,2023,2023,2023,2023,2023,2023,2023
Sumatera Selatan,882011,98393,356480,91695,220114,48105,125925
Ogan Komering Ulu,37535,4700,16153,3811,10777,2180,5155
Ogan Komering Ilir,85678,8444,29785,8827,15159,4129,11124
Muara Enim,66878,6772,26516,6048,13993,3562,10600
Lahat,40715,4328,17644,4259,12421,1706,6464
Musi Rawas,42414,2997,16179,3757,11742,2395,2710
Musi Banyuasin,83108,6152,32845,5820,17024,2420,9586
Banyuasin,97531,8429,30394,11803,17392,6465,7219
Ogan Komering Ulu Selatan,36694,2204,13068,4094,8253,1978,2851
Ogan Komering Ulu Timur,60641,12722,25081,12502,13462,5668,11323
Ogan Ilir,44452,3677,15622,8936,9031,5742,6843
Empat Lawang,24844,848,9773,1757,7395,283,2351
Pali,24252,1309,11042,1424,6773,477,3380
Musi Rawas Utara,21811,2253,7290,2023,5849,714,832
Palembang,154102,27663,77027,10563,51944,5643,32361
Prabumulih,22212,1487,9215,1858,5833,1021,5647
Pagar Alam,13850,2338,6575,1651,4883,906,2418
Lubuk Linggau,25294,2070,12271,2562,8183,2816,5061
