Kelompok Umur,Penduduk (Laki-Laki) (Ribu),Penduduk (Perempuan) (Ribu),Penduduk (Laki-Laki + Perempuan) (Ribu)
0-4,403.3,388.4,791.7
5-9,411.1,395.3,806.4
10-14,393.8,372.6,766.3
15-19,373.1,354.5,727.7
20-24,355.1,337.1,692.2
25-29,354.6,340.2,694.8
30-34,358.2,343.6,701.8
35-39,341.9,331.9,673.8
40-44,309.1,296.2,605.3
45-49,266.2,256.6,522.8
50-54,222.1,219.7,441.8
55-59,182.4,182.1,364.5
60-64,139.8,135.9,275.8
65-69,91.2,89.6,180.7
70-74,52.3,59.1,111.3
75+,49.2,64.6,113.8
Indonesia,4303.3,4167.4,8470.7
