Kabupaten/Kota,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Ogan Komering Ulu,2156,78,436,514
Ogan Komering Ilir,4786,246,1032,1278
Muara Enim,3749,194,701,895
Lahat,2762,149,560,709
Musi Rawas,2885,...,...,...
Musi Banyuasin,4233,157,657,814
Banyu Asin,5429,165,663,828
Ogan Komering Ulu Selatan,2111,70,305,375
Ogan Komering Ulu Timur,4040,173,652,825
Ogan Ilir,2599,...,...,...
Empat Lawang,1478,...,...,...
Penukal Abab Lematang Ilir,1156,...,...,...
Musi Rawas Utara,1141,...,...,...
Kota Palembang,8509,420,1584,2004
Kota Prabumulih,994,72,175,247
Kota Pagar Alam,894,44,158,202
Kota Lubuklinggau,1570,274,1016,1290
Sumatera Selatan,50492,2042,7939,9981
,,,,
Keterangan,,,,
<sup>1</sup>Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA),,,,
<sup>2</sup>Hanya untuk yang beragama Islam/Applies only for moslem,,,,
<sup>3</sup>Data perceraian yang telah diputus oleh pengadilan dan akta cerainya telah terbit/Divorce data that has been decided by the court and the divorce certificate has been issued,,,,
Data Perceraian Provinsi Papua Barat mencakup Provinsi Papua Barat Daya/Divorce data of Papua Barat Province included Papua Barat Daya Province,,,,
"Data Perceraian Provinsi Papua mencakup Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan/Divorce data of Papua Province included Papua Selatan, Papua Tengah, and Papua Pegunungan Provinces",,,,
