Kabupaten/Kota,Nikah,Cerai Talak,Cerai Gugat,Jumlah Cerai
Ogan Komering Ulu,2470,47,175,222
Ogan Komering Ilir,5451,94,239,333
Muara Enim,4242,146,520,666
Lahat,3429,143,464,607
Musi Rawas,2892,...,...,...
Musi Banyuasin,4467,121,569,690
Banyu Asin,6175,96,315,411
Ogan Komering Ulu Selatan,2547,77,252,329
Ogan Komering Ulu Timur,4476,107,239,346
Ogan Ilir,3473,...,...,...
Empat Lawang,1570,...,...,...
Penukal Abab Lematang Ilir,1194,...,...,...
Musi Rawas Utara,1172,...,...,...
Kota Palembang,10813,336,1037,1373
Kota Prabumulih,1491,53,124,177
Kota Pagar Alam,1140,45,190,235
Kota Lubuklinggau,1747,270,743,1013
Sumatera Selatan,58749,1535,4867,6402
,,,,
Keterangan,,,,
1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem5Data cerai 2020 masih bergabung dengan Provinsi Riau/Data of divorces 2020 were included in Riau Province6Data cerai 2020 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces 2020 were included in Nusa Tenggara Barat Province7Data cerai 2020 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces 2020 were included in Kalimantan Timur Province8Data cerai 2020 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2020 were included in Sulawesi Selatan Province9Data cerai 2020 masih bergabung dengan Provinsi Papua/Data of divorces 2020 were included in Papua Province,,,,
