Kabupaten/Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Ogan Komering Ulu,1596879,1896172,1977407,1805923
Ogan Komering Ilir,2282190,1937778,1941016,2118005
Muara Enim,2029622,1687236,1853740,1918357
Lahat,2484142,2572833,1766860,2257240
Musi Rawas,1919569,2218464 (a),1661565,1899808
Musi Banyuasin,2087168,3057670,2284049,2280265
Banyu Asin,2003642,2061611,2030084,2021366
Ogan Komering Ulu Selatan,2192314,2286939,1829123,2096861
Ogan Komering Ulu Timur,1813949,2011159,1879233,1855505
Ogan Ilir,1729483,1485158,2008855,1764687
Empat Lawang,2156156,2188550,1727795,2022247
Penukal Abab Lematang Ilir,1670401,1966473,1909338,1764466
Musi Rawas Utara,2542083,2536240,1985037,2429741
Kota Palembang,3699679 (a),1935704,2437206,2380449
Kota Prabumulih,1550978,1776786,1965679,1852574
Kota Pagar Alam,2580660,1907249,4159398 (a),3319202
Kota Lubuklinggau,1245339,1837256,1849259,1748869
Sumatera Selatan,2055631,2016508,2137495,2084544
,,,,
Keterangan,,,,
"1 Mencakup rata-rata pendapatan bersih dari penduduk bekerja berstatus berusaha sendiri, pekerja bebas di sektor pertanian, dan nonpertanian/Includes the average net income of the self-employed working population, casual agricultural worker, and casual nonagricultural worker",,,,
"2 Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/Agriculture: Agriculture, Forestry, Hunting, and Fisherie Industri: Pertambangan dan Penggalian; Industri; Listrik, Gas, dan Air Minum; Konstruksi/Manufacture: Mining; Manufacturing Industry; Electricity, Gas, and Water; and Construction Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi; Transportasi, Pergudangan, dan Komunikasi; Lembaga Keuangan; Real Estat, Usaha Persewaan, dan Jasa Perusahaan; Jasa Kemasyarakatan, Sosial dan Perorangan/Services: Wholesale Trade, Retail Trade, Restaurants, and",,,,
"Hotels; Transportation, Warehousing, and Communication; Financing; Real Estate, Business Services, and Public Service",,,,
