Kabupaten/Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Ogan Komering Ulu,1472186,1494342,1803389,1593190
Ogan Komering Ilir,2554672,1804386,2349628,2422621
Muara Enim,1555472,1768185,1362875,1494204
Lahat,1386360,2149953,1609423,1513210
Musi Rawas,1760192,1797695,1981338,1828349
Musi Banyuasin,1835232,2358821,1767116,1860415
Banyu Asin,2195582,2266102,2340577,2249231
Ogan Komering Ulu Selatan,1681144,NA,1948229,1759825
Ogan Komering Ulu Timur,1383108,1869853,1635461,1527932
Ogan Ilir,1355802,1233034,1687676,1447674
Empat Lawang,734425,1394643,1148448,885891
Penukal Abab Lematang Ilir,1351878,NA,1176055,1350621
Musi Rawas Utara,1566076,1779389,1362276,1557370
Kota Palembang,1546835,2871331,2421556,2487288
Kota Prabumulih,1207746,1445923,1794167,1590637
Kota Pagar Alam,1019746,1713566,1428804,1270276
Kota Lubuklinggau,1328811,1734878,2009339,1841362
Sumatera Selatan,1699250,2103637,2013118,1879107
,,,,
Keterangan,,,,
"<sup>1</sup> Pekerja Informal/ Informal Employee : Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/ Employment status are self employed, casual agricultural worker, and casual non-agricultural worker ",,,,
"<sup>2</sup> Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/ Agriculture: Agriculture, Forestry, Hunting, and Fisheries   Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/ ",,,,
" Manufacture: Mining, Manufacturing Industry, Electricity, Gas, Water, and Construction. ",,,,
" Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/ ",,,,
" Services: Wholesale Trade, Retail Trade, Restaurants and Hotels,   Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service",,,,
