Kabupaten/Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
Ogan Komering Ulu,1206757,1592234,1542569,1393000
Ogan Komering Ilir,1429237,1581023,1477862,1463124
Muara Enim,1341164,1767036,2079657,1645128
Lahat,1170503,1567279,1428444,1311839
Musi Rawas,1530829,1736984,1775380,1629585
Musi Banyuasin,1664250,1938772,2022770,1830340
Banyu Asin,1602024,1891106,1940665,1770621
Ogan Komering Ulu Selatan,1376454,2039615,1614423,1500299
Ogan Komering Ulu Timur,1355350,1712116,1548082,1454645
Ogan Ilir,999783,1536594,1868301,1505387
Empat Lawang,660239,1166459,1273089,874118
Penukal Abab Lematang Ilir,1054244,1934280,1483203,1272893
Musi Rawas Utara,1106549,1522422,2014771,1397959
Kota Palembang,1389449,2088609,2463677,2392064
Kota Prabumulih,1273565,1376903,1448754,1399721
Kota Pagar Alam,1127852,1753322,1600884,1414659
Kota Lubuklinggau,1194725,2103468,1630116,1597839
Sumatera Selatan,1339048,1793972,1951874,1675166
,,,,
Keterangan,,,,
"<sup>1 </sup>   Pekerja Informal/<i>Informal Employee</i>: Pekerja yang berstatus berusaha sendiri dan pekerja bebas di sektor pertanian dan nonpertanian/<i>Employment </i>    <i>status are self employed, casual agricultural worker, and casual non-agricultural worker</i><sup>2 </sup>  Pertanian: Pertanian, Perkebunan, Kehutanan, Perburuan, dan Perikanan/<i>Agriculture: Agriculture, Forestry, Hunting, and Fisherie</i>    Industri: Pertambangan dan Penggalian, Industri, Listrik, Gas, dan Air Minum, Konstruksi/<i>Manufacture: Mining, Manufacturing Industry, Electricity, Gas, </i><i>Water, and Construction.</i>    Jasa: Perdagangan, Rumah Makan, dan Jasa Akomodasi, Transportasi, Pergudangan dan Komunikasi, Lembaga Keuangan, Real Estate, Usaha Persewaan dan Jasa Perusahaan, Jasa Kemasyarakatan, Sosial dan Perorangan/<i>Services: Wholesale Trade, Retail Trade, Restaurants and Hotels, </i><i>Transportation, Warehousing, and Communication, Financing, Insurance, Real Estate, Business Services, and Public Service</i>",,,,
