Tahun,Kabupaten_Kota,IMB_Aneka_Investasi_Juta_Rp
2019,Sumatera Selatan,817603692.0
2019,Ogan Komering Ulu,0.0
2019,Ogan Komering Ilir,3388737.0
2019,Muara Enim,204987.0
2019,Lahat,387162.0
2019,Musi Rawas,2405110.0
2019,Musi Banyuasin,5936338.0
2019,Banyuasin,12314798.0
2019,Ogan Komering Ulu Selatan,870.0
2019,Ogan Komering Ulu Timur,1825243.0
2019,Ogan Ilir,2437843.0
2019,Empat Lawang,217472.0
2019,Pali,1574.0
2019,Musi Rawas Utara,388540.0
2019,Palembang,787994721.0
2019,Prabumulih,3482.0
2019,Pagar Alam,96814.0
2019,Lubuk Linggau,0.0
2020,Sumatera Selatan,808975792.0
2020,Ogan Komering Ulu,0.0
2020,Ogan Komering Ilir,4805112.0
2020,Muara Enim,381086.0
2020,Lahat,387162.0
2020,Musi Rawas,2453716.0
2020,Musi Banyuasin,5137209.0
2020,Banyuasin,3552325.0
2020,Ogan Komering Ulu Selatan,6960.0
2020,Ogan Komering Ulu Timur,1826002.0
2020,Ogan Ilir,1607196.0
2020,Empat Lawang,234972.0
2020,Pali,1574.0
2020,Musi Rawas Utara,420916.0
2020,Palembang,788061266.0
2020,Prabumulih,3482.0
2020,Pagar Alam,96814.0
2020,Lubuk Linggau,0.0
2021,Sumatera Selatan,819428181271.0
2021,Ogan Komering Ulu,0.0
2021,Ogan Komering Ilir,6867073446.0
2021,Muara Enim,387541193.0
2021,Lahat,388716204.0
2021,Musi Rawas,2507798099.0
2021,Musi Banyuasin,6834547039.0
2021,Banyuasin,8343759704.0
2021,Ogan Komering Ulu Selatan,6960000.0
2021,Ogan Komering Ulu Timur,2144402610.0
2021,Ogan Ilir,2470539294.0
2021,Empat Lawang,234972124.0
2021,Pali,1574000.0
2021,Musi Rawas Utara,931709100.0
2021,Palembang,788208291785.0
2021,Prabumulih,3482200.0
2021,Pagar Alam,96814473.0
2021,Lubuk Linggau,0.0
2022,Sumatera Selatan,1521025234.0
2022,Ogan Komering Ulu,0.0
2022,Ogan Komering Ilir,106289251.0
2022,Muara Enim,39729795.0
2022,Lahat,0.0
2022,Musi Rawas,739956678.0
2022,Musi Banyuasin,152898900.0
2022,Banyuasin,98953183.0
2022,Ogan Komering Ulu Selatan,6960000.0
2022,Ogan Komering Ulu Timur,760000.0
2022,Ogan Ilir,70943082.0
2022,Empat Lawang,3500000.0
2022,Pali,0.0
2022,Musi Rawas Utara,0.0
2022,Palembang,189236345.0
2022,Prabumulih,104298000.0
2022,Pagar Alam,8500000.0
2022,Lubuk Linggau,0.0
2023,Sumatera Selatan,336.0
2023,Ogan Komering Ulu,0.0
2023,Ogan Komering Ilir,34.0
2023,Muara Enim,16.0
2023,Lahat,3.0
2023,Musi Rawas,13.0
2023,Musi Banyuasin,48.0
2023,Banyuasin,78.0
2023,Ogan Komering Ulu Selatan,3.0
2023,Ogan Komering Ulu Timur,12.0
2023,Ogan Ilir,29.0
2023,Empat Lawang,7.0
2023,Pali,3.0
2023,Musi Rawas Utara,5.0
2023,Palembang,79.0
2023,Prabumulih,2.0
2023,Pagar Alam,3.0
2023,Lubuk Linggau,1.0
2024,Sumatera Selatan,916305644.0
2024,Ogan Komering Ulu,0.0
2024,Ogan Komering Ilir,6679031.0
2024,Muara Enim,274254876.0
2024,Lahat,55564797.0
2024,Musi Rawas,1159617.0
2024,Musi Banyuasin,12903614.0
2024,Banyuasin,56278153.0
2024,Ogan Komering Ulu Selatan,6960.0
2024,Ogan Komering Ulu Timur,2319810.0
2024,Ogan Ilir,3129939.0
2024,Empat Lawang,356395.0
2024,Pali,3595.0
2024,Musi Rawas Utara,267791069.0
2024,Palembang,235505797.0
2024,Prabumulih,2200.0
2024,Pagar Alam,132814.0
2024,Lubuk Linggau,216976.0
2025,Sumatera Selatan,129730818859.0
2025,Ogan Komering Ulu,381784.0
2025,Ogan Komering Ilir,7071426.0
2025,Muara Enim,142764419.0
2025,Lahat,78721571.0
2025,Musi Rawas,2217472.0
2025,Musi Banyuasin,14953214.0
2025,Banyuasin,22639907.0
2025,Ogan Komering Ulu Selatan,93610.0
2025,Ogan Komering Ulu Timur,2820989.0
2025,Ogan Ilir,3470259.0
2025,Empat Lawang,356395.0
2025,Pali,3594.0
2025,Musi Rawas Utara,721191.0
2025,Palembang,129093913066.0
2025,Prabumulih,310000.0
2025,Pagar Alam,143403803.0
2025,Lubuk Linggau,216976159.0
