No,Nama Perusahaan,Nilai Investasi (Rp Miliar)
1,PT. Buluh Cawang Plantations,132.2
2,PT. Musi Banyuasin Indah,114.1
3,PT. Tanian Selatan,9305.1
4,PT. Bayung Agro Wisata,294.3
5,PT. Kasih Agro Mandiri,299.2
6,PT. Berkat Sawit Sejati,112.9
7,PT. Berkat Sawit Sukamaju,-
8,PT. Hidoli,-
9,PT. Andira Agro,-
10,PT Bumi Mekar Tani,112.9
11,PT. Pinago Utama,-
12,PT. Andira Agro,-
13,PT. Bumi Mekar Tani,112.9
14,PT. Telaga Hikmah,150.2
15,PT. Mutiara Bunda Jaya,251.1
16,PT. AEK Tarum,-
17,PT. Gunung Tua Abadi,813.4
18,PT. Sampoerna Agro,273.7
19,PT. Kelantan Sakti,-
20,PT. Berkat Sawit Sejati,-
21,PT. Gasing Sawit Abadi,456.6
22,PT. Agung Selatan Sejahtera,405.6
23,PT. Banyuasin Nusantara Sejahtera,141.6
24,PT. Perkebunan Hasil Musi Lestari,-
25,PT. Transpasific Agro Industry,-
26,PT. Mitra Agrolika Sejahtera,-
27,PT. Wanapotensi Guna,105.9
28,PT. Djuanda Sawit Lestari,84.7
29,PT. Sawit Mas Sejahtera,84.7
30,PT. Bumi Sawit Permai,72.6
31,PT. Sri Andal Lestari,-
32,PT Golden Ailindo Nusantara,132.9
33,PT. Sinar Alam Permai (SAP),407.8
34,PT. HIDOLI,-
35,PT. Buana Sriwijaya Sejahtera,-
36,PT. Ekajaya Multiperkasa,132.6
37,PT. Tunas Baru Lampung,-
38,PT. Evans Lestari,192.8
39,PT. Gelumbang Agro Sentosa,-
40,PT. Swadaya Indopalma,542.3
41,PT. Perusahaan Perkebunan Lonsum Indonesia,-
42,PT. Pinang Witmas Sejati,308.2
43,PT. Daya Semesta Agro Persada,-
44,PT. Bersama Sawit Sejahtera,-
45,PT. Mitra Aneka Rezeki,-
46,PT. Kencana Subur Sejahtera,-
47,PT. Karya Inti Tani,-
48,PT. Sukses Sawit Gasing,-
49,PT. Banyuasin Industri Lestari,-
50,PT. Sumatera Palma Andalan,-
51,Jumlah nilai investasi,15040.3
