Tahun,Kabupaten_Kota,SD,Madrasah Ibtidaiyah,SMP,Madrasah Tsanawiyah,SMA,Madrasah Aliyah,SMK
2019,Sumatera Selatan,926957.0,89053.0,355000.0,83903.0,210111.0,39763.0,210111.0
2019,Ogan Komering Ulu,41095.0,3724.0,16216.0,2911.0,10855.0,1893.0,10855.0
2019,Ogan Komering Ilir,92013.0,7815.0,29488.0,8363.0,14404.0,3517.0,14404.0
2019,Muara Enim,67988.0,5997.0,27610.0,6071.0,13182.0,2675.0,13182.0
2019,Lahat,43152.0,3050.0,18077.0,3526.0,13405.0,1193.0,13405.0
2019,Musi Rawas,44475.0,2793.0,17467.0,3377.0,10899.0,1949.0,10899.0
2019,Musi Banyuasin,86892.0,6149.0,29474.0,6004.0,16339.0,2394.0,16339.0
2019,Banyuasin,100335.0,8142.0,29133.0,11341.0,16477.0,5230.0,16477.0
2019,Ogan Komering Ulu Selatan,40332.0,1763.0,13878.0,3904.0,8150.0,1599.0,8150.0
2019,Ogan Komering Ulu Timur,66772.0,11088.0,22506.0,10526.0,12116.0,4915.0,12116.0
2019,Ogan Ilir,45496.0,2876.0,15398.0,8450.0,8458.0,4331.0,8458.0
2019,Empat Lawang,27390.0,908.0,11568.0,1841.0,6849.0,240.0,6849.0
2019,Pali,26581.0,1244.0,10370.0,1159.0,6575.0,380.0,6575.0
2019,Musi Rawas Utara,23098.0,2023.0,7547.0,1823.0,5512.0,778.0,5512.0
2019,Palembang,158625.0,27164.0,77809.0,9371.0,48886.0,4997.0,48886.0
2019,Prabumulih,22311.0,838.0,9616.0,1584.0,5533.0,633.0,5533.0
2019,Pagar Alam,14277.0,1882.0,6378.0,1623.0,4438.0,806.0,4438.0
2019,Lubuk Linggau,26125.0,1597.0,12465.0,2029.0,8033.0,2233.0,8033.0
2020,Sumatera Selatan,914988.0,96049.0,360523.0,84308.0,209176.0,47469.0,125183.0
2020,Ogan Komering Ulu,40390.0,3987.0,15971.0,3193.0,10895.0,2082.0,5172.0
2020,Ogan Komering Ilir,89783.0,8319.0,30160.0,9068.0,14589.0,4351.0,9522.0
2020,Muara Enim,67638.0,6415.0,27518.0,5686.0,13311.0,3290.0,10075.0
2020,Lahat,42134.0,3979.0,18303.0,4074.0,12823.0,1720.0,5965.0
2020,Musi Rawas,43659.0,2843.0,17834.0,3228.0,11185.0,2413.0,2496.0
2020,Musi Banyuasin,85925.0,6587.0,30600.0,5228.0,16429.0,2564.0,9091.0
2020,Banyuasin,99326.0,8356.0,29809.0,9531.0,16386.0,6244.0,6561.0
