Tahun,Kabupaten_Kota,Korban_Laki_Laki,Korban_Perempuan,Total_Kasus_Kekerasan
2022,Sumatera Selatan,0.0,0.0,0.0
2022,Ogan Komering Ulu,0.0,0.0,0.0
2022,Ogan Komering Ilir,0.0,0.0,0.0
2022,Muara Enim,0.0,0.0,0.0
2022,Lahat,0.0,0.0,0.0
2022,Musi Rawas,0.0,0.0,0.0
2022,Musi Banyuasin,0.0,0.0,0.0
2022,Banyuasin,0.0,0.0,0.0
2022,Ogan Komering Ulu Selatan,0.0,0.0,0.0
2022,Ogan Komering Ulu Timur,0.0,0.0,0.0
2022,Ogan Ilir,0.0,0.0,0.0
2022,Empat Lawang,0.0,0.0,0.0
2022,Pali,0.0,0.0,0.0
2022,Musi Rawas Utara,0.0,0.0,0.0
2022,Palembang,0.0,0.0,0.0
2022,Prabumulih,0.0,0.0,0.0
2022,Pagar Alam,0.0,0.0,0.0
2022,Lubuk Linggau,0.0,0.0,0.0
2023,Sumatera Selatan,0.0,0.0,0.0
2023,Ogan Komering Ulu,0.0,0.0,0.0
2023,Ogan Komering Ilir,0.0,0.0,0.0
2023,Muara Enim,0.0,0.0,0.0
2023,Lahat,0.0,0.0,0.0
2023,Musi Rawas,0.0,0.0,0.0
2023,Musi Banyuasin,0.0,0.0,0.0
2023,Banyuasin,0.0,0.0,0.0
2023,Ogan Komering Ulu Selatan,0.0,0.0,0.0
2023,Ogan Komering Ulu Timur,0.0,0.0,0.0
2023,Ogan Ilir,0.0,0.0,0.0
2023,Empat Lawang,0.0,0.0,0.0
2023,Pali,0.0,0.0,0.0
2023,Musi Rawas Utara,0.0,0.0,0.0
2023,Palembang,0.0,0.0,0.0
2023,Prabumulih,0.0,0.0,0.0
2023,Pagar Alam,0.0,0.0,0.0
2023,Lubuk Linggau,0.0,0.0,0.0
2024,Sumatera Selatan,0.0,0.0,0.0
2024,Ogan Komering Ulu,0.0,0.0,0.0
2024,Ogan Komering Ilir,0.0,0.0,0.0
2024,Muara Enim,0.0,0.0,0.0
2024,Lahat,0.0,0.0,0.0
2024,Musi Rawas,0.0,0.0,0.0
2024,Musi Banyuasin,0.0,0.0,0.0
2024,Banyuasin,0.0,0.0,0.0
2024,Ogan Komering Ulu Selatan,0.0,0.0,0.0
2024,Ogan Komering Ulu Timur,0.0,0.0,0.0
2024,Ogan Ilir,0.0,0.0,0.0
2024,Empat Lawang,0.0,0.0,0.0
2024,Pali,0.0,0.0,0.0
2024,Musi Rawas Utara,0.0,0.0,0.0
2024,Palembang,0.0,0.0,0.0
2024,Prabumulih,0.0,0.0,0.0
2024,Pagar Alam,0.0,0.0,0.0
2024,Lubuk Linggau,0.0,0.0,0.0
2025,Sumatera Selatan,0.0,0.0,0.0
2025,Ogan Komering Ulu,0.0,0.0,0.0
2025,Ogan Komering Ilir,0.0,0.0,0.0
2025,Muara Enim,0.0,0.0,0.0
2025,Lahat,0.0,0.0,0.0
2025,Musi Rawas,0.0,0.0,0.0
2025,Musi Banyuasin,0.0,0.0,0.0
2025,Banyuasin,0.0,0.0,0.0
2025,Ogan Komering Ulu Selatan,0.0,0.0,0.0
2025,Ogan Komering Ulu Timur,0.0,0.0,0.0
2025,Ogan Ilir,0.0,0.0,0.0
2025,Empat Lawang,0.0,0.0,0.0
2025,Pali,0.0,0.0,0.0
2025,Musi Rawas Utara,0.0,0.0,0.0
2025,Palembang,0.0,0.0,0.0
2025,Prabumulih,0.0,0.0,0.0
2025,Pagar Alam,0.0,0.0,0.0
2025,Lubuk Linggau,0.0,0.0,0.0
