Tahun,Kabupaten_Kota,Nikah,Cerai_Talak,Cerai_Gugat,Jumlah_Cerai,Rasio_Cerai_Nikah_%,Proporsi_Cerai_Gugat_%
2024,Ogan Komering Ulu,21560.0,78.0,436.0,514.0,2.3840445269016697,84.8249027237354
2024,Ogan Komering Ilir,47860.0,246.0,1032.0,1278.0,2.6702883409945675,80.75117370892019
2024,Muara Enim,37490.0,194.0,701.0,895.0,2.3873032808749,78.32402234636872
2024,Lahat,27620.0,149.0,560.0,709.0,2.5669804489500363,78.98448519040903
2024,Musi Banyuasin,42330.0,157.0,657.0,814.0,1.9229860618946375,80.71253071253072
2024,Banyu Asin,54290.0,165.0,663.0,828.0,1.5251427518880087,80.07246376811594
2024,Ogan Komering Ulu Selatan,21110.0,70.0,305.0,375.0,1.7764092846991948,81.33333333333333
2024,Ogan Komering Ulu Timur,40400.0,173.0,652.0,825.0,2.0420792079207923,79.03030303030303
2024,Kota Palembang,85090.0,420.0,1584.0,2004.0,2.355153367023152,79.04191616766467
2024,Kota Prabumulih,9940.0,72.0,175.0,247.0,2.484909456740443,70.8502024291498
2024,Kota Pagar Alam,8940.0,44.0,158.0,202.0,2.2595078299776286,78.21782178217822
2024,Kota Lubuklinggau,15700.0,274.0,1016.0,1290.0,8.21656050955414,78.75968992248062
2024,Sumatera Selatan,504920.0,2042.0,7939.0,9981.0,1.9767487918878237,79.54112814347259
2024,Data Perceraian Provinsi Papua Barat mencakup Provinsi Papua Barat Daya/Divorce data of Papua Barat Province included Papua Barat Daya Province,,,,,,
2024,"Data Perceraian Provinsi Papua mencakup Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan/Divorce data of Papua Province included Papua Selatan, Papua Tengah, and Papua Pegunungan Provinces",,,,,,
2025,Ogan Komering Ulu,21800.0,1270.0,5450.0,6720.0,30.825688073394495,81.10119047619048
2025,Ogan Komering Ilir,51230.0,2060.0,8450.0,10510.0,20.515323052898694,80.39961941008563
2025,Muara Enim,39240.0,1660.0,6270.0,7930.0,20.208970438328237,79.06683480453972
2025,Lahat,29450.0,1480.0,5260.0,6740.0,22.886247877758915,78.04154302670622
2025,Musi Rawas,29930.0,1880.0,6510.0,8390.0,28.032074841296357,77.59237187127532
2025,Musi Banyuasin,45840.0,1790.0,7240.0,9030.0,19.698952879581153,80.17718715393134
2025,Banyu Asin,58890.0,1740.0,8370.0,10110.0,17.16760061130922,82.7893175074184
2025,Ogan Komering Ulu Selatan,25400.0,850.0,3910.0,4760.0,18.740157480314963,82.14285714285714
2025,Ogan Komering Ulu Timur,43930.0,1940.0,7170.0,9110.0,20.73753699066697,78.70472008781559
2025,Ogan Ilir,26820.0,780.0,3420.0,4200.0,15.659955257270694,81.42857142857143
2025,Empat Lawang,15400.0,450.0,1410.0,1860.0,12.077922077922079,75.80645161290323
2025,Penukal Abab Lematang Ilir,10840.0,490.0,1780.0,2270.0,20.940959409594097,78.41409691629956
2025,Musi Rawas Utara,11840.0,470.0,1460.0,1930.0,16.300675675675674,75.64766839378238
2025,Kota Palembang,89900.0,5310.0,20280.0,25590.0,28.464961067853174,79.24970691676437
2025,Kota Prabumulih,10200.0,670.0,2850.0,3520.0,34.509803921568626,80.9659090909091
2025,Kota Pagar Alam,9250.0,510.0,1740.0,2250.0,24.324324324324326,77.33333333333333
2025,Kota Lubuklinggau,15870.0,980.0,4680.0,5660.0,35.66477630749843,82.68551236749117
2025,Sumatera Selatan,535830.0,24330.0,96250.0,120580.0,22.503405930985572,79.82252446508542
2019,Ogan Komering Ulu,28410.0,117.0,451.0,568.0,1.9992960225272791,79.40140845070422
2019,Ogan Komering Ilir,65250.0,267.0,960.0,1227.0,1.8804597701149426,78.239608801956
2019,Muara Enim,48480.0,265.0,740.0,1005.0,2.073019801980198,73.6318407960199
2019,Lahat,33980.0,171.0,502.0,673.0,1.9805768098881695,74.59138187221397
2019,Musi Banyuasin,57860.0,157.0,600.0,757.0,1.3083304528171449,79.26023778071334
2019,Banyu Asin,68450.0,119.0,512.0,631.0,0.9218407596785975,81.14104595879556
2019,Ogan Komering Ulu Selatan,25750.0,71.0,251.0,322.0,1.250485436893204,77.95031055900621
2019,Ogan Komering Ulu Timur,48470.0,195.0,611.0,806.0,1.6628842583041057,75.80645161290323
2019,Kota Palembang,118740.0,524.0,1976.0,2500.0,2.105440458143844,79.03999999999999
2019,Kota Prabumulih,13110.0,75.0,207.0,282.0,2.1510297482837526,73.40425531914893
2019,Kota Pagar Alam,11460.0,53.0,221.0,274.0,2.390924956369983,80.65693430656934
2019,Kota Lubuklinggau,19280.0,293.0,891.0,1184.0,6.141078838174273,75.25337837837837
2019,Sumatera Selatan,667280.0,2307.0,7922.0,10229.0,1.5329396954801582,77.44647570632516
2020,Ogan Komering Ulu,24700.0,47.0,175.0,222.0,0.8987854251012145,78.82882882882883
2020,Ogan Komering Ilir,54510.0,94.0,239.0,333.0,0.6108970831040176,71.77177177177178
2020,Muara Enim,42420.0,146.0,520.0,666.0,1.5700141442715703,78.07807807807808
2020,Lahat,34290.0,143.0,464.0,607.0,1.7701953922426363,76.44151565074135
2020,Musi Banyuasin,44670.0,121.0,569.0,690.0,1.544660846205507,82.46376811594203
2020,Banyu Asin,61750.0,96.0,315.0,411.0,0.6655870445344129,76.64233576642336
2020,Ogan Komering Ulu Selatan,25470.0,77.0,252.0,329.0,1.2917157440125637,76.59574468085107
2020,Ogan Komering Ulu Timur,44760.0,107.0,239.0,346.0,0.773011617515639,69.07514450867052
2020,Kota Palembang,108130.0,336.0,1037.0,1373.0,1.269767872005919,75.5280407865987
2020,Kota Prabumulih,14910.0,53.0,124.0,177.0,1.187122736418511,70.05649717514125
2020,Kota Pagar Alam,11400.0,45.0,190.0,235.0,2.06140350877193,80.85106382978722
2020,Kota Lubuklinggau,17470.0,270.0,743.0,1013.0,5.798511734401831,73.34649555774926
2020,Sumatera Selatan,587490.0,1535.0,4867.0,6402.0,1.0897206760966145,76.0231177756951
2020,1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem5Data cerai 2020 masih bergabung dengan Provinsi Riau/Data of divorces 2020 were included in Riau Province6Data cerai 2020 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces 2020 were included in Nusa Tenggara Barat Province7Data cerai 2020 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces 2020 were included in Kalimantan Timur Province8Data cerai 2020 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2020 were included in Sulawesi Selatan Province9Data cerai 2020 masih bergabung dengan Provinsi Papua/Data of divorces 2020 were included in Papua Province,,,,,,
2021,Ogan Komering Ulu,26140.0,119.0,445.0,564.0,2.15761285386381,78.90070921985816
2021,Ogan Komering Ilir,61880.0,345.0,1141.0,1486.0,2.4014221073044606,76.78331090174967
2021,Muara Enim,42240.0,205.0,743.0,948.0,2.2443181818181817,78.37552742616035
2021,Lahat,32030.0,194.0,601.0,795.0,2.4820480799250704,75.59748427672956
2021,Musi Banyuasin,46960.0,186.0,636.0,822.0,1.7504258943781943,77.37226277372264
2021,Banyu Asin,66270.0,168.0,760.0,928.0,1.4003319752527539,81.89655172413794
2021,Ogan Komering Ulu Selatan,24750.0,85.0,307.0,392.0,1.5838383838383838,78.31632653061224
2021,Ogan Komering Ulu Timur,47580.0,176.0,629.0,805.0,1.6918873476250527,78.13664596273291
2021,Kota Palembang,104050.0,552.0,2028.0,2580.0,2.4795771263815474,78.6046511627907
2021,Kota Prabumulih,12140.0,98.0,232.0,330.0,2.7182866556836904,70.3030303030303
2021,Kota Pagar Alam,9870.0,51.0,191.0,242.0,2.4518743667679836,78.92561983471074
2021,Kota Lubuklinggau,19000.0,294.0,1006.0,1300.0,6.842105263157896,77.38461538461539
2021,Sumatera Selatan,599870.0,2473.0,8719.0,11192.0,1.865737576474903,77.90385989992852
2021,1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem5Data cerai 2021 masih bergabung dengan Provinsi Riau/Data of divorces 2021 were included in Riau Province6Data cerai 2021 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces 2021 were included in Nusa Tenggara Barat Province7Data cerai 2021 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces 2021 were included in Kalimantan Timur Province8Data cerai 2021 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2021 were included in Sulawesi Selatan Province9Data cerai 2021 masih bergabung dengan Provinsi Papua/Data of divorces 2021 were included in Papua Province,,,,,,
2022,Ogan Komering Ulu,25200.0,137.0,474.0,611.0,2.4246031746031744,77.57774140752865
2022,Ogan Komering Ilir,59350.0,342.0,1233.0,1575.0,2.653748946925021,78.28571428571428
2022,Muara Enim,42180.0,262.0,797.0,1059.0,2.5106685633001424,75.2596789423985
2022,Lahat,28380.0,264.0,766.0,1030.0,3.629316420014094,74.36893203883496
2022,Musi Banyuasin,45440.0,176.0,720.0,896.0,1.971830985915493,80.35714285714286
2022,Banyu Asin,61610.0,201.0,754.0,955.0,1.5500730400908944,78.95287958115183
