Tahun,Kabupaten_Kota,Nikah,Cerai_Talak,Cerai_Gugat,Jumlah_Cerai,Rasio_Cerai_Nikah_%,Proporsi_Cerai_Gugat_%
2024,Ogan Komering Ulu,2156.0,78.0,436.0,514.0,23.840445269016698,84.8249027237354
2024,Ogan Komering Ilir,4786.0,246.0,1032.0,1278.0,26.702883409945677,80.75117370892019
2024,Muara Enim,3749.0,194.0,701.0,895.0,23.873032808749002,78.32402234636872
2024,Lahat,2762.0,149.0,560.0,709.0,25.669804489500365,78.98448519040903
2024,Musi Rawas,2885.0,,,,,
2024,Musi Banyuasin,4233.0,157.0,657.0,814.0,19.229860618946372,80.71253071253072
2024,Banyu Asin,5429.0,165.0,663.0,828.0,15.251427518880089,80.07246376811594
2024,Ogan Komering Ulu Selatan,2111.0,70.0,305.0,375.0,17.764092846991947,81.33333333333333
2024,Ogan Komering Ulu Timur,4040.0,173.0,652.0,825.0,20.42079207920792,79.03030303030303
2024,Ogan Ilir,2599.0,,,,,
2024,Empat Lawang,1478.0,,,,,
2024,Penukal Abab Lematang Ilir,1156.0,,,,,
2024,Musi Rawas Utara,1141.0,,,,,
2024,Kota Palembang,8509.0,420.0,1584.0,2004.0,23.55153367023152,79.04191616766467
2024,Kota Prabumulih,994.0,72.0,175.0,247.0,24.849094567404425,70.8502024291498
2024,Kota Pagar Alam,894.0,44.0,158.0,202.0,22.595078299776286,78.21782178217822
2024,Kota Lubuklinggau,1570.0,274.0,1016.0,1290.0,82.16560509554141,78.75968992248062
2024,Sumatera Selatan,50492.0,2042.0,7939.0,9981.0,19.76748791887824,79.54112814347259
2024,Data Perceraian Provinsi Papua Barat mencakup Provinsi Papua Barat Daya/Divorce data of Papua Barat Province included Papua Barat Daya Province,,,,,,
2024,"Data Perceraian Provinsi Papua mencakup Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan/Divorce data of Papua Province included Papua Selatan, Papua Tengah, and Papua Pegunungan Provinces",,,,,,
2025,Ogan Komering Ulu,2180.0,127.0,545.0,672.0,30.825688073394495,81.10119047619048
2025,Ogan Komering Ilir,5123.0,206.0,845.0,1051.0,20.515323052898694,80.39961941008563
2025,Muara Enim,3924.0,166.0,627.0,793.0,20.208970438328237,79.06683480453972
2025,Lahat,2945.0,148.0,526.0,674.0,22.886247877758915,78.04154302670622
2025,Musi Rawas,2993.0,188.0,651.0,839.0,28.032074841296357,77.59237187127532
2025,Musi Banyuasin,4584.0,179.0,724.0,903.0,19.698952879581153,80.17718715393134
2025,Banyu Asin,5889.0,174.0,837.0,1011.0,17.16760061130922,82.7893175074184
2025,Ogan Komering Ulu Selatan,2540.0,85.0,391.0,476.0,18.740157480314963,82.14285714285714
2025,Ogan Komering Ulu Timur,4393.0,194.0,717.0,911.0,20.73753699066697,78.70472008781559
2025,Ogan Ilir,2682.0,78.0,342.0,420.0,15.659955257270694,81.42857142857143
2025,Empat Lawang,1540.0,45.0,141.0,186.0,12.077922077922079,75.80645161290323
2025,Penukal Abab Lematang Ilir,1084.0,49.0,178.0,227.0,20.940959409594097,78.41409691629956
2025,Musi Rawas Utara,1184.0,47.0,146.0,193.0,16.300675675675674,75.64766839378238
2025,Kota Palembang,8990.0,531.0,2028.0,2559.0,28.464961067853174,79.24970691676437
2025,Kota Prabumulih,1020.0,67.0,285.0,352.0,34.509803921568626,80.9659090909091
2025,Kota Pagar Alam,925.0,51.0,174.0,225.0,24.324324324324326,77.33333333333333
2025,Kota Lubuklinggau,1587.0,98.0,468.0,566.0,35.66477630749843,82.68551236749117
2025,Sumatera Selatan,53583.0,2433.0,9625.0,12058.0,22.503405930985572,79.82252446508542
2019,Ogan Komering Ulu,2841.0,117.0,451.0,568.0,19.99296022527279,79.40140845070422
2019,Ogan Komering Ilir,6525.0,267.0,960.0,1227.0,18.804597701149426,78.239608801956
2019,Muara Enim,4848.0,265.0,740.0,1005.0,20.73019801980198,73.6318407960199
2019,Lahat,3398.0,171.0,502.0,673.0,19.805768098881696,74.59138187221397
2019,Musi Rawas,3253.0,,,,,
2019,Musi Banyuasin,5786.0,157.0,600.0,757.0,13.08330452817145,79.26023778071334
2019,Banyu Asin,6845.0,119.0,512.0,631.0,9.218407596785976,81.14104595879556
2019,Ogan Komering Ulu Selatan,2575.0,71.0,251.0,322.0,12.504854368932039,77.95031055900621
2019,Ogan Komering Ulu Timur,4847.0,195.0,611.0,806.0,16.628842583041056,75.80645161290323
2019,Ogan Ilir,4276.0,,,,,
2019,Empat Lawang,1907.0,,,,,
2019,Penukal Abab Lematang Ilir,1931.0,,,,,
2019,Musi Rawas Utara,1437.0,,,,,
2019,Kota Palembang,11874.0,524.0,1976.0,2500.0,21.054404581438437,79.03999999999999
2019,Kota Prabumulih,1311.0,75.0,207.0,282.0,21.51029748283753,73.40425531914893
2019,Kota Pagar Alam,1146.0,53.0,221.0,274.0,23.909249563699824,80.65693430656934
2019,Kota Lubuklinggau,1928.0,293.0,891.0,1184.0,61.41078838174274,75.25337837837837
2019,Sumatera Selatan,66728.0,2307.0,7922.0,10229.0,15.329396954801583,77.44647570632516
2020,Ogan Komering Ulu,2470.0,47.0,175.0,222.0,8.987854251012145,78.82882882882883
2020,Ogan Komering Ilir,5451.0,94.0,239.0,333.0,6.108970831040176,71.77177177177178
2020,Muara Enim,4242.0,146.0,520.0,666.0,15.700141442715701,78.07807807807808
2020,Lahat,3429.0,143.0,464.0,607.0,17.701953922426362,76.44151565074135
2020,Musi Rawas,2892.0,,,,,
2020,Musi Banyuasin,4467.0,121.0,569.0,690.0,15.44660846205507,82.46376811594203
2020,Banyu Asin,6175.0,96.0,315.0,411.0,6.65587044534413,76.64233576642336
2020,Ogan Komering Ulu Selatan,2547.0,77.0,252.0,329.0,12.917157440125637,76.59574468085107
2020,Ogan Komering Ulu Timur,4476.0,107.0,239.0,346.0,7.7301161751563905,69.07514450867052
2020,Ogan Ilir,3473.0,,,,,
2020,Empat Lawang,1570.0,,,,,
2020,Penukal Abab Lematang Ilir,1194.0,,,,,
2020,Musi Rawas Utara,1172.0,,,,,
2020,Kota Palembang,10813.0,336.0,1037.0,1373.0,12.697678720059189,75.5280407865987
2020,Kota Prabumulih,1491.0,53.0,124.0,177.0,11.87122736418511,70.05649717514125
2020,Kota Pagar Alam,1140.0,45.0,190.0,235.0,20.614035087719298,80.85106382978722
2020,Kota Lubuklinggau,1747.0,270.0,743.0,1013.0,57.98511734401832,73.34649555774926
2020,Sumatera Selatan,58749.0,1535.0,4867.0,6402.0,10.897206760966144,76.0231177756951
2020,1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem5Data cerai 2020 masih bergabung dengan Provinsi Riau/Data of divorces 2020 were included in Riau Province6Data cerai 2020 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces 2020 were included in Nusa Tenggara Barat Province7Data cerai 2020 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces 2020 were included in Kalimantan Timur Province8Data cerai 2020 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2020 were included in Sulawesi Selatan Province9Data cerai 2020 masih bergabung dengan Provinsi Papua/Data of divorces 2020 were included in Papua Province,,,,,,
2021,Ogan Komering Ulu,2614.0,119.0,445.0,564.0,21.576128538638102,78.90070921985816
2021,Ogan Komering Ilir,6188.0,345.0,1141.0,1486.0,24.014221073044602,76.78331090174967
2021,Muara Enim,4224.0,205.0,743.0,948.0,22.443181818181817,78.37552742616035
2021,Lahat,3203.0,194.0,601.0,795.0,24.820480799250703,75.59748427672956
2021,Musi Rawas,3195.0,,,,,
2021,Musi Banyuasin,4696.0,186.0,636.0,822.0,17.50425894378194,77.37226277372264
2021,Banyu Asin,6627.0,168.0,760.0,928.0,14.003319752527538,81.89655172413794
2021,Ogan Komering Ulu Selatan,2475.0,85.0,307.0,392.0,15.838383838383837,78.31632653061224
2021,Ogan Komering Ulu Timur,4758.0,176.0,629.0,805.0,16.918873476250525,78.13664596273291
2021,Ogan Ilir,3154.0,,,,,
2021,Empat Lawang,1790.0,,,,,
2021,Penukal Abab Lematang Ilir,1258.0,,,,,
2021,Musi Rawas Utara,1299.0,,,,,
2021,Kota Palembang,10405.0,552.0,2028.0,2580.0,24.79577126381547,78.6046511627907
2021,Kota Prabumulih,1214.0,98.0,232.0,330.0,27.182866556836906,70.3030303030303
2021,Kota Pagar Alam,987.0,51.0,191.0,242.0,24.51874366767984,78.92561983471074
2021,Kota Lubuklinggau,1900.0,294.0,1006.0,1300.0,68.42105263157895,77.38461538461539
2021,Sumatera Selatan,59987.0,2473.0,8719.0,11192.0,18.65737576474903,77.90385989992852
2021,1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem5Data cerai 2021 masih bergabung dengan Provinsi Riau/Data of divorces 2021 were included in Riau Province6Data cerai 2021 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces 2021 were included in Nusa Tenggara Barat Province7Data cerai 2021 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces 2021 were included in Kalimantan Timur Province8Data cerai 2021 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2021 were included in Sulawesi Selatan Province9Data cerai 2021 masih bergabung dengan Provinsi Papua/Data of divorces 2021 were included in Papua Province,,,,,,
2022,Ogan Komering Ulu,2520.0,137.0,474.0,611.0,24.246031746031747,77.57774140752865
2022,Ogan Komering Ilir,5935.0,342.0,1233.0,1575.0,26.537489469250207,78.28571428571428
2022,Muara Enim,4218.0,262.0,797.0,1059.0,25.106685633001426,75.2596789423985
2022,Lahat,2838.0,264.0,766.0,1030.0,36.29316420014094,74.36893203883496
2022,Musi Rawas,3135.0,,,,,
2022,Musi Banyuasin,4544.0,176.0,720.0,896.0,19.718309859154928,80.35714285714286
2022,Banyu Asin,6161.0,201.0,754.0,955.0,15.500730400908944,78.95287958115183
2022,Ogan Komering Ulu Selatan,2323.0,91.0,323.0,414.0,17.82178217821782,78.01932367149759
2022,Ogan Komering Ulu Timur,4870.0,232.0,723.0,955.0,19.609856262833674,75.70680628272251
2022,Ogan Ilir,3066.0,,,,,
2022,Empat Lawang,1838.0,,,,,
2022,Penukal Abab Lematang Ilir,1236.0,,,,,
2022,Musi Rawas Utara,1401.0,,,,,
2022,Kota Palembang,9664.0,684.0,2334.0,3018.0,31.22930463576159,77.33598409542743
2022,Kota Prabumulih,1219.0,83.0,242.0,325.0,26.661197703035278,74.46153846153845
2022,Kota Pagar Alam,1092.0,54.0,205.0,259.0,23.717948717948715,79.15057915057915
2022,Kota Lubuklinggau,1828.0,343.0,1061.0,1404.0,76.80525164113786,75.56980056980058
2022,Sumatera Selatan,57888.0,2869.0,9632.0,12501.0,21.595149253731343,77.04983601311895
2022,1Termasuk bedolan (nikah di luar KUA)/Including registration conducted outside the Religious Affairs Office (KUA)2Hanya untuk yang beragama Islam/Applies only for moslem3Data perceraian yang telah diputus oleh Pengadilan tetapi akta cerainya belum tercetak /<i>Divorce data that has been ruled but the divorce certificate has not been printed</i>4Data cerai Kepulauan Riau 2022 masih bergabung dengan Provinsi Riau/Data of divorces Kepulauan Riau 2022 were included in Riau Province5Data cerai Bali 2022 masih bergabung dengan Provinsi Nusa Tenggara Barat/Data of divorces Bali 2022 were included in Nusa Tenggara Barat Province6Data cerai Kalimantan Utara 2022 masih bergabung dengan Provinsi Kalimantan Timur/Data of divorces Kalimantan Utara 2022 were included in Kalimantan Timur Province7Data cerai Sulawesi Barat 2022 masih bergabung dengan Provinsi Sulawesi Selatan/Data of divorces 2022 were included in Sulawesi Selatan Province8Data cerai Papua Barat 022 masih bergabung dengan Provinsi Papua/Data of divorces 2022 were included in Papua Province,,,,,,
2023,Ogan Komering Ulu,2067.0,82.0,369.0,451.0,21.81906144170295,81.81818181818183
2023,Ogan Komering Ilir,5131.0,304.0,1126.0,1430.0,27.869810953030598,78.74125874125875
2023,Muara Enim,3814.0,226.0,703.0,929.0,24.357629785002622,75.67276641550053
2023,Lahat,2302.0,230.0,622.0,852.0,37.011294526498695,73.00469483568075
2023,Musi Rawas,3064.0,,,,,
2023,Musi Banyuasin,4152.0,191.0,778.0,969.0,23.33815028901734,80.28895768833848
2023,Banyu Asin,5588.0,207.0,835.0,1042.0,18.647100930565497,80.13435700575816
