Tahun,Kabupaten_Kota,Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Pertanian (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Industri (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jasa (Rp),Rata-rata Upah/Gaji Bersih Pekerja Informal berdasarkan Lapangan Pekerjaan Utama Jumlah (Rp)
2025,Ogan Komering Ulu,1596879.0,1896172.0,1977407.0,18059230.0
2025,Ogan Komering Ilir,2282190.0,1937778.0,1941016.0,21180050.0
2025,Muara Enim,2029622.0,1687236.0,1853740.0,19183570.0
2025,Lahat,2484142.0,2572833.0,1766860.0,22572400.0
2025,Musi Rawas,1919569.0,,1661565.0,18998080.0
2025,Musi Banyuasin,2087168.0,3057670.0,2284049.0,22802650.0
2025,Banyu Asin,2003642.0,2061611.0,2030084.0,20213660.0
2025,Ogan Komering Ulu Selatan,2192314.0,2286939.0,1829123.0,20968610.0
2025,Ogan Komering Ulu Timur,1813949.0,2011159.0,1879233.0,18555050.0
2025,Ogan Ilir,1729483.0,1485158.0,2008855.0,17646870.0
2025,Empat Lawang,2156156.0,2188550.0,1727795.0,20222470.0
2025,Penukal Abab Lematang Ilir,1670401.0,1966473.0,1909338.0,17644660.0
2025,Musi Rawas Utara,2542083.0,2536240.0,1985037.0,24297410.0
2025,Kota Palembang,,1935704.0,2437206.0,23804490.0
2025,Kota Prabumulih,1550978.0,1776786.0,1965679.0,18525740.0
2025,Kota Pagar Alam,2580660.0,1907249.0,,33192020.0
2025,Kota Lubuklinggau,1245339.0,1837256.0,1849259.0,17488690.0
2025,Sumatera Selatan,2055631.0,2016508.0,2137495.0,20845440.0
2025,"1 Mencakup rata-rata pendapatan bersih dari penduduk bekerja berstatus berusaha sendiri, pekerja bebas di sektor pertanian, dan nonpertanian/Includes the average net income of the self-employed working population, casual agricultural worker, and casual nonagricultural worker",,,,
