Tahun,Kabupaten_Kota,Jumlah_Perusahaan_IMK
2019,Sumatera Selatan,80307.0
2019,Ogan Komering Ulu,1725.0
2019,Ogan Komering Ilir,6046.0
2019,Muara Enim,4738.0
2019,Lahat,3290.0
2019,Musi Rawas,3845.0
2019,Musi Banyuasin,3164.0
2019,Banyuasin,3946.0
2019,Ogan Komering Ulu Selatan,3870.0
2019,Ogan Komering Ulu Timur,10277.0
2019,Ogan Ilir,20421.0
2019,Empat Lawang,2114.0
2019,Pali,1213.0
2019,Musi Rawas Utara,1186.0
2019,Palembang,8881.0
2019,Prabumulih,2642.0
2019,Pagar Alam,1150.0
2019,Lubuk Linggau,1799.0
2020,Sumatera Selatan,75569.0
2020,Ogan Komering Ulu,1683.0
2020,Ogan Komering Ilir,5925.0
2020,Muara Enim,4687.0
2020,Lahat,3342.0
2020,Musi Rawas,3797.0
2020,Musi Banyuasin,2874.0
2020,Banyuasin,2041.0
2020,Ogan Komering Ulu Selatan,3855.0
2020,Ogan Komering Ulu Timur,10228.0
2020,Ogan Ilir,20124.0
2020,Empat Lawang,2109.0
2020,Pali,1224.0
2020,Musi Rawas Utara,1162.0
2020,Palembang,7500.0
2020,Prabumulih,2414.0
2020,Pagar Alam,1097.0
2020,Lubuk Linggau,1507.0
2021,Sumatera Selatan,79115.0
2021,Ogan Komering Ulu,2351.0
2021,Ogan Komering Ilir,7180.0
2021,Muara Enim,3749.0
2021,Lahat,3134.0
2021,Musi Rawas,4722.0
2021,Musi Banyuasin,3089.0
2021,Banyuasin,4456.0
2021,Ogan Komering Ulu Selatan,3857.0
2021,Ogan Komering Ulu Timur,8522.0
2021,Ogan Ilir,19635.0
2021,Empat Lawang,1264.0
2021,Pali,901.0
2021,Musi Rawas Utara,1055.0
2021,Palembang,9712.0
2021,Prabumulih,2552.0
2021,Pagar Alam,1026.0
2021,Lubuk Linggau,1910.0
2022,Sumatera Selatan,74056.0
2022,Ogan Komering Ulu,2020.0
2022,Ogan Komering Ilir,5478.0
2022,Muara Enim,3688.0
2022,Lahat,3256.0
2022,Musi Rawas,2617.0
2022,Musi Banyuasin,4071.0
2022,Banyuasin,4899.0
2022,Ogan Komering Ulu Selatan,4876.0
2022,Ogan Komering Ulu Timur,8527.0
2022,Ogan Ilir,18962.0
2022,Empat Lawang,968.0
2022,Pali,935.0
2022,Musi Rawas Utara,747.0
2022,Palembang,7528.0
2022,Prabumulih,2314.0
2022,Pagar Alam,1100.0
2022,Lubuk Linggau,2070.0
