Tahun,Kelompok_Umur,Laki_Laki,Perempuan,Total
2026,0-4,368.8,353.9,722.7
2026,5-9,387.1,369.6,756.6
2026,10-14,398.2,380.8,779.1
2026,15-19,369.1,347.9,717.0
2026,20-24,356.1,335.2,691.2
2026,25-29,360.5,342.2,702.7
2026,30-34,356.5,339.6,696.1
2026,35-39,352.9,337.1,690.0
2026,40-44,335.2,321.6,656.8
2026,45-49,311.7,301.0,612.7
2026,50-54,275.6,268.4,544.0
2026,55-59,228.9,225.9,454.8
2026,60-64,182.0,183.0,365.0
2026,65-69,135.0,137.8,272.8
2026,70-74,90.7,95.3,186.0
2026,75+,76.5,93.1,169.5
2026,Jumlah/Total,4584.7,4432.4,9017.1
2019,0-4,403.3,388.4,791.7
2019,5-9,411.1,395.3,806.4
2019,10-14,393.8,372.6,766.3
2019,15-19,373.1,354.5,727.7
2019,20-24,355.1,337.1,692.2
2019,25-29,354.6,340.2,694.8
2019,30-34,358.2,343.6,701.8
2019,35-39,341.9,331.9,673.8
2019,40-44,309.1,296.2,605.3
2019,45-49,266.2,256.6,522.8
2019,50-54,222.1,219.7,441.8
2019,55-59,182.4,182.1,364.5
2019,60-64,139.8,135.9,275.8
2019,65-69,91.2,89.6,180.7
2019,70-74,52.3,59.1,111.3
2019,75+,49.2,64.6,113.8
2019,Indonesia,4303.3,4167.4,8470.7
2020,0-4,395.0,376.3,771.3
2020,5-9,397.5,379.4,776.9
2020,10-14,366.5,344.3,710.8
2020,15-19,360.9,339.4,700.3
2020,20-24,365.9,347.2,713.1
2020,25-29,360.3,343.2,703.6
2020,30-34,356.6,340.7,697.3
2020,35-39,336.8,322.7,659.5
2020,40-44,313.8,301.5,615.3
2020,45-49,277.3,267.3,544.6
2020,50-54,232.9,225.7,458.6
2020,55-59,190.3,185.0,375.3
2020,60-64,146.9,142.4,289.2
2020,65-69,104.9,103.3,208.2
2020,70-74,60.7,63.3,124.1
2020,75+,53.7,65.7,119.4
2020,Jumlah/Total,4320.1,4147.4,8467.4
2021,0-4,391.9,373.4,765.3
2021,5-9,398.9,381.4,780.3
2021,10-14,370.6,349.1,719.7
2021,15-19,358.8,336.8,695.5
2021,20-24,362.9,344.3,707.2
2021,25-29,359.2,342.2,701.4
2021,30-34,356.2,340.6,696.8
2021,35-39,339.1,325.2,664.2
2021,40-44,317.9,305.3,623.2
2021,45-49,283.8,273.5,557.3
2021,50-54,239.6,232.5,472.1
2021,55-59,196.2,191.4,387.6
2021,60-64,152.3,148.6,300.9
2021,65-69,110.2,108.8,219.1
2021,70-74,65.7,68.3,134.0
2021,75+,56.7,69.5,126.2
2021,Jumlah/Total,4360.1,4190.8,8550.8
2021,Hasil Proyeksi Penduduk Interim 2020-2023 (mid year/June),,,
2022,0-4,390.9,372.5,763.5
2022,5-9,399.1,381.8,780.9
2022,10-14,377.2,356.7,733.9
2022,15-19,358.1,335.7,693.8
2022,20-24,360.6,341.7,702.2
2022,25-29,359.3,342.6,701.9
2022,30-34,355.9,340.6,696.5
2022,35-39,342.4,328.7,671.1
2022,40-44,322.1,309.2,631.3
2022,45-49,290.9,280.2,571.1
2022,50-54,247.2,240.0,487.2
2022,55-59,202.6,198.2,400.8
2022,60-64,158.4,155.4,313.8
2022,65-69,115.5,114.4,229.9
2022,70-74,71.2,73.9,145.1
2022,75+,60.3,73.8,134.2
2022,Jumlah/Total,4411.6,4245.4,8657.0
2022,Hasil Proyeksi Penduduk Interim 2020-2023 (mid year/June),,,
2023,0-4,380.2,363.6,743.7
2023,5-9,397.6,379.9,777.5
2023,10-14,384.5,364.9,749.3
2023,15-19,359.0,336.7,695.7
2023,20-24,360.2,340.4,700.6
2023,25-29,361.6,344.1,705.7
2023,30-34,356.5,340.0,696.6
2023,35-39,347.0,331.9,678.9
2023,40-44,324.9,312.0,636.9
2023,45-49,296.4,286.1,582.5
2023,50-54,254.5,247.3,501.8
2023,55-59,208.7,204.9,413.6
2023,60-64,164.1,162.5,326.6
2023,65-69,120.0,119.9,239.8
2023,70-74,76.1,79.0,155.1
2023,75+,62.7,76.4,139.1
2023,Jumlah/Total,4453.9,4289.6,8743.5
2024,0-4,376.0,360.0,736.0
2024,5-9,395.0,377.0,772.0
